topic,subtopic,difficulty,score,total_questions,percentage,time_taken,attempt_number,timestamp,user_id,score_ratio,is_improving,avg_previous_score,readiness
Data Structures,Queues,intermediate,2,5,46.2,744,6,2025-10-31 22:12:43.492134,user_0261,0.4,False,60.3,Good
Java,OOPs,advanced,3,5,66.2,691,20,2026-01-20 22:12:43.469195,user_0100,0.6,False,58.760000000000005,Good
Java,Inheritance,advanced,2,5,53.8,643,15,2025-12-21 22:12:43.499115,user_0316,0.4,False,41.0,Good
Python,Dictionaries,advanced,4,5,85.7,559,14,2025-12-24 22:12:43.510086,user_0408,0.8,False,62.699999999999996,Excellent
Python,File Handling,advanced,5,5,100.0,596,14,2025-11-11 22:12:43.506095,user_0373,1.0,False,96.22,Excellent
Data Structures,Trees,advanced,5,5,100.0,662,18,2026-01-26 22:12:43.522021,user_0496,1.0,False,96.56666666666666,Excellent
Java,Exceptions,beginner,3,5,79.3,657,3,2025-10-27 22:12:43.473249,user_0126,0.6,True,64.7,Good
Java,Inheritance,advanced,5,5,100.0,652,32,2026-01-23 22:12:43.461216,user_0038,1.0,False,100.0,Excellent
Data Structures,Trees,advanced,5,5,100.0,567,21,2026-01-24 22:12:43.479135,user_0163,1.0,False,84.65,Excellent
C,Functions,advanced,4,5,99.5,555,14,2025-12-03 22:12:43.517066,user_0464,0.8,False,,Excellent
C,Loops,advanced,5,5,100.0,550,18,2025-12-17 22:12:43.521058,user_0495,1.0,False,100.0,Excellent
Python,Dictionaries,intermediate,4,5,93.3,704,9,2025-12-02 22:12:43.485119,user_0213,0.8,False,78.7,Excellent
C,Loops,intermediate,4,5,83.3,571,7,2025-12-27 22:12:43.492134,user_0265,0.8,False,82.3,Excellent
Python,File Handling,intermediate,5,5,100.0,573,11,2025-12-22 22:12:43.492134,user_0263,1.0,False,91.4,Excellent
Data Structures,Linked List,advanced,5,5,100.0,552,14,2026-01-05 22:12:43.471157,user_0117,1.0,False,70.60000000000001,Excellent
C,Loops,advanced,5,5,100.0,703,21,2026-01-01 22:12:43.482143,user_0185,1.0,False,72.84,Excellent
Python,Lists,intermediate,5,5,100.0,530,12,2026-01-11 22:12:43.520058,user_0487,1.0,False,64.9,Good
C,Pointers,beginner,4,5,82.3,728,1,2025-10-31 22:12:43.516071,user_0449,0.8,False,,Excellent
DBMS,Normalization,advanced,5,5,100.0,530,28,2026-01-11 22:12:43.498117,user_0314,1.0,False,64.75,Excellent
OS,Processes,advanced,5,5,100.0,580,19,2026-01-17 22:12:43.471157,user_0117,1.0,False,64.7,Excellent
DBMS,SQL,intermediate,3,5,73.4,707,9,2025-11-21 22:12:43.503106,user_0351,0.6,False,72.45,Excellent
C,Arrays,beginner,4,5,91.5,716,3,2025-10-30 22:12:43.512080,user_0424,0.8,False,97.55,Excellent
DBMS,Normalization,intermediate,4,5,83.8,624,11,2025-12-05 22:12:43.489109,user_0241,0.8,False,,Excellent
C,Pointers,advanced,5,5,100.0,625,25,2026-01-06 22:12:43.480133,user_0174,1.0,True,59.7,Average
Python,Lists,beginner,2,5,40.8,723,5,2025-10-29 22:12:43.518063,user_0470,0.4,False,,Excellent
Python,Dictionaries,intermediate,2,5,50.5,827,9,2026-01-05 22:12:43.482143,user_0190,0.4,True,52.325,Average
OS,Memory Management,advanced,5,5,100.0,678,17,2025-12-28 22:12:43.478138,user_0154,1.0,True,100.0,Excellent
Java,OOPs,advanced,5,5,100.0,728,31,2026-01-07 22:12:43.462213,user_0052,1.0,False,81.675,Good
DBMS,Normalization,intermediate,5,5,100.0,713,10,2025-11-19 22:12:43.463213,user_0057,1.0,False,100.0,Excellent
Data Structures,Stacks,advanced,5,5,100.0,685,29,2026-01-22 22:12:43.477145,user_0151,1.0,False,79.225,Excellent
C,Loops,advanced,5,5,100.0,742,22,2026-01-03 22:12:43.505100,user_0365,1.0,False,100.0,Excellent
OS,Processes,beginner,2,5,45.0,858,5,2025-11-19 22:12:43.510086,user_0406,0.4,False,47.3,Good
C,Functions,intermediate,4,5,89.6,613,9,2025-11-06 22:12:43.500113,user_0326,0.8,False,,Excellent
Python,Dictionaries,advanced,5,5,100.0,537,21,2025-12-15 22:12:43.468198,user_0094,1.0,False,69.25,Excellent
C,Arrays,beginner,2,5,56.1,668,1,2025-11-24 22:12:43.456194,user_0003,0.4,False,,Average
Java,Exceptions,intermediate,4,5,85.9,754,7,2025-11-23 22:12:43.489109,user_0241,0.8,False,92.53333333333335,Excellent
Python,File Handling,advanced,3,5,70.4,638,16,2025-12-27 22:12:43.476177,user_0139,0.6,False,67.75,Good
Data Structures,Trees,advanced,5,5,100.0,522,28,2026-01-14 22:12:43.457229,user_0012,1.0,False,100.0,Excellent
Data Structures,Stacks,advanced,5,5,100.0,518,32,2026-01-20 22:12:43.482143,user_0184,1.0,False,98.44,Excellent
Data Structures,Queues,beginner,4,5,81.6,657,5,2025-10-27 22:12:43.514074,user_0434,0.8,False,65.3,Excellent
Data Structures,Linked List,beginner,5,5,100.0,663,3,2025-11-11 22:12:43.521058,user_0493,1.0,True,,Excellent
OS,Memory Management,beginner,1,5,34.7,900,2,2025-11-10 22:12:43.464208,user_0062,0.2,True,,Good
OS,Threads,advanced,5,5,100.0,599,20,2025-12-29 22:12:43.513078,user_0431,1.0,False,89.2,Excellent
C,Functions,advanced,5,5,100.0,637,28,2026-01-12 22:12:43.513078,user_0432,1.0,False,100.0,Excellent
Python,Dictionaries,intermediate,3,5,69.9,594,12,2025-11-29 22:12:43.460220,user_0034,0.6,True,60.0,Excellent
Java,OOPs,advanced,5,5,100.0,618,23,2026-01-16 22:12:43.497122,user_0303,1.0,False,71.35,Excellent
OS,Threads,advanced,0,5,15.7,866,13,2026-01-06 22:12:43.513078,user_0426,0.0,False,,Needs Improvement
Python,Lists,advanced,2,5,48.9,730,20,2025-12-04 22:12:43.463213,user_0059,0.4,False,40.666666666666664,Excellent
DBMS,SQL,advanced,4,5,92.9,539,23,2025-12-13 22:12:43.466203,user_0075,0.8,False,51.2,Excellent
Data Structures,Linked List,intermediate,5,5,100.0,617,12,2025-11-18 22:12:43.512080,user_0417,1.0,True,65.6,Excellent
Java,Exceptions,advanced,5,5,100.0,666,29,2026-01-21 22:12:43.514074,user_0436,1.0,False,85.60000000000001,Excellent
DBMS,SQL,beginner,3,5,66.3,727,5,2025-12-08 22:12:43.504101,user_0355,0.6,True,61.8,Excellent
OS,Processes,advanced,4,5,91.3,550,23,2026-01-16 22:12:43.492134,user_0267,0.8,True,68.76666666666667,Good
DBMS,Normalization,advanced,5,5,100.0,675,17,2025-12-24 22:12:43.465207,user_0073,1.0,True,72.13333333333334,Average
C,Pointers,intermediate,4,5,82.1,746,12,2025-12-18 22:12:43.456194,user_0004,0.8,False,51.6,Excellent
Python,File Handling,advanced,5,5,100.0,540,19,2026-01-19 22:12:43.458228,user_0017,1.0,False,96.2,Excellent
C,Loops,beginner,3,5,78.6,767,4,2025-12-10 22:12:43.519063,user_0477,0.6,False,,Excellent
Data Structures,Trees,intermediate,3,5,61.0,650,8,2025-11-30 22:12:43.517066,user_0460,0.6,False,,Good
C,Pointers,advanced,5,5,100.0,523,27,2026-01-17 22:12:43.508093,user_0390,1.0,False,100.0,Excellent
Data Structures,Linked List,beginner,3,5,77.9,777,2,2025-11-11 22:12:43.515072,user_0445,0.6,True,,Excellent
Data Structures,Trees,advanced,4,5,95.2,566,17,2025-12-21 22:12:43.486148,user_0219,0.8,True,66.5,Excellent
Java,OOPs,advanced,2,5,42.3,787,14,2025-12-06 22:12:43.480133,user_0174,0.4,False,52.6,Average
Python,Lists,advanced,4,5,98.7,587,25,2025-12-12 22:12:43.511084,user_0415,0.8,True,86.35,Excellent
OS,Processes,advanced,4,5,82.0,608,16,2025-11-18 22:12:43.462213,user_0045,0.8,False,,Excellent
OS,Processes,advanced,5,5,100.0,629,22,2026-01-04 22:12:43.486148,user_0218,1.0,False,100.0,Excellent
C,Arrays,beginner,1,5,38.6,729,3,2025-12-14 22:12:43.497122,user_0302,0.2,False,,Good
Data Structures,Linked List,advanced,5,5,100.0,599,23,2026-01-16 22:12:43.488111,user_0237,1.0,False,96.2,Excellent
Python,Dictionaries,advanced,5,5,100.0,667,14,2025-11-23 22:12:43.471157,user_0113,1.0,False,97.02000000000001,Excellent
C,Loops,advanced,5,5,100.0,513,25,2026-01-12 22:12:43.467199,user_0083,1.0,False,84.4,Excellent
Python,File Handling,beginner,5,5,100.0,671,5,2025-12-07 22:12:43.513078,user_0428,1.0,True,100.0,Excellent
C,Arrays,advanced,3,5,65.5,707,14,2025-12-23 22:12:43.480133,user_0172,0.6,False,65.93333333333334,Excellent
C,Arrays,beginner,2,5,47.3,837,3,2025-10-15 22:12:43.500113,user_0329,0.4,True,42.2,Excellent
C,Arrays,intermediate,3,5,76.4,654,7,2025-11-10 22:12:43.494115,user_0278,0.6,True,71.44999999999999,Excellent
C,Pointers,advanced,5,5,100.0,603,26,2026-01-02 22:12:43.496122,user_0294,1.0,True,99.13333333333333,Excellent
DBMS,SQL,advanced,4,5,85.9,705,23,2025-12-09 22:12:43.482143,user_0191,0.8,False,60.58571428571429,Excellent
Java,Exceptions,intermediate,5,5,100.0,639,7,2025-11-29 22:12:43.474148,user_0133,1.0,False,100.0,Excellent
Python,File Handling,advanced,5,5,100.0,731,19,2025-12-28 22:12:43.505100,user_0367,1.0,False,100.0,Excellent
Java,Exceptions,intermediate,5,5,100.0,549,7,2025-11-26 22:12:43.471157,user_0116,1.0,True,100.0,Excellent
OS,Memory Management,intermediate,5,5,100.0,592,9,2025-11-06 22:12:43.477145,user_0145,1.0,True,100.0,Excellent
Java,OOPs,intermediate,3,5,79.6,572,8,2025-12-21 22:12:43.494115,user_0281,0.6,False,,Excellent
Python,File Handling,intermediate,5,5,100.0,748,11,2025-12-10 22:12:43.494115,user_0277,1.0,False,100.0,Excellent
Python,Lists,beginner,4,5,89.2,673,2,2025-12-07 22:12:43.512080,user_0423,0.8,True,,Excellent
C,Arrays,intermediate,5,5,100.0,541,9,2026-01-01 22:12:43.514074,user_0439,1.0,True,42.3,Excellent
DBMS,Normalization,advanced,5,5,100.0,641,27,2026-01-14 22:12:43.491135,user_0258,1.0,True,72.4,Excellent
Python,File Handling,beginner,5,5,100.0,747,3,2025-12-02 22:12:43.513078,user_0428,1.0,True,,Excellent
Python,Dictionaries,intermediate,4,5,88.7,566,6,2025-11-30 22:12:43.483156,user_0198,0.8,True,,Excellent
C,Loops,intermediate,5,5,100.0,550,12,2025-12-23 22:12:43.486148,user_0216,1.0,False,80.7,Excellent
DBMS,Normalization,advanced,5,5,100.0,717,32,2026-01-24 22:12:43.498117,user_0314,1.0,False,76.5,Excellent
C,Functions,beginner,3,5,76.4,589,3,2025-11-05 22:12:43.483156,user_0195,0.6,False,84.0,Good
DBMS,Normalization,advanced,5,5,100.0,643,30,2026-01-15 22:12:43.472199,user_0119,1.0,False,99.89999999999999,Excellent
Java,OOPs,advanced,5,5,100.0,745,26,2025-12-24 22:12:43.462213,user_0045,1.0,False,80.175,Excellent
Python,Dictionaries,advanced,5,5,100.0,510,17,2025-11-26 22:12:43.456194,user_0001,1.0,False,97.14,Excellent
Java,Exceptions,advanced,5,5,100.0,605,21,2026-01-09 22:12:43.461216,user_0037,1.0,False,91.7,Excellent
C,Pointers,intermediate,5,5,100.0,520,11,2025-12-07 22:12:43.510086,user_0404,1.0,True,81.95,Excellent
DBMS,SQL,intermediate,3,5,61.9,655,10,2025-12-15 22:12:43.522021,user_0497,0.6,False,29.3,Excellent
Python,Dictionaries,intermediate,2,5,54.1,775,8,2025-12-02 22:12:43.464208,user_0062,0.4,False,17.1,Good
Python,Dictionaries,advanced,4,5,89.5,566,16,2026-01-06 22:12:43.516071,user_0454,0.8,False,81.43333333333334,Excellent
DBMS,SQL,advanced,4,5,88.5,642,20,2025-12-30 22:12:43.507093,user_0380,0.8,False,55.65,Good
OS,Processes,beginner,3,5,69.0,812,5,2025-11-13 22:12:43.521058,user_0493,0.6,False,63.45,Excellent
Data Structures,Stacks,advanced,5,5,100.0,725,31,2026-01-04 22:12:43.488111,user_0234,1.0,False,68.35,Excellent
Java,OOPs,advanced,3,5,77.4,615,14,2025-12-19 22:12:43.464208,user_0062,0.6,True,68.2,Good
DBMS,Transactions,beginner,3,5,62.8,768,3,2025-12-16 22:12:43.491135,user_0253,0.6,True,58.6,Good
DBMS,Normalization,advanced,5,5,100.0,545,17,2026-01-09 22:12:43.492134,user_0263,1.0,False,70.6,Excellent
Python,Lists,advanced,4,5,98.8,676,16,2025-12-04 22:12:43.517066,user_0457,0.8,True,80.60000000000001,Excellent
OS,Threads,advanced,5,5,100.0,648,24,2026-01-12 22:12:43.487148,user_0224,1.0,False,67.45,Good
C,Functions,intermediate,5,5,100.0,594,11,2025-11-29 22:12:43.521058,user_0493,1.0,False,80.96666666666665,Excellent
Data Structures,Stacks,advanced,5,5,100.0,564,18,2025-12-25 22:12:43.502108,user_0344,1.0,False,77.6,Excellent
Python,Lists,beginner,2,5,58.3,821,4,2025-11-11 22:12:43.517066,user_0459,0.4,True,,Average
C,Arrays,advanced,4,5,100.0,603,29,2025-12-21 22:12:43.503106,user_0349,0.8,True,76.62857142857142,Good
Python,Dictionaries,intermediate,4,5,89.5,733,8,2025-11-14 22:12:43.457229,user_0012,0.8,True,82.1,Excellent
DBMS,SQL,beginner,2,5,53.7,697,2,2025-10-26 22:12:43.519063,user_0478,0.4,True,51.5,Excellent
DBMS,SQL,beginner,2,5,49.7,783,2,2025-11-14 22:12:43.483156,user_0192,0.4,False,,Excellent
DBMS,Normalization,beginner,3,5,60.5,770,5,2025-12-15 22:12:43.495127,user_0290,0.6,True,41.4,Good
Data Structures,Stacks,intermediate,5,5,100.0,744,11,2025-12-31 22:12:43.508093,user_0389,1.0,True,100.0,Excellent
OS,Processes,advanced,5,5,100.0,525,20,2026-01-11 22:12:43.504101,user_0360,1.0,False,100.0,Excellent
Python,File Handling,intermediate,3,5,67.2,618,12,2025-11-10 22:12:43.464208,user_0064,0.6,False,46.56666666666666,Good
Data Structures,Queues,intermediate,4,5,90.7,752,8,2025-11-27 22:12:43.510086,user_0402,0.8,False,,Excellent
OS,Processes,beginner,4,5,91.8,591,5,2025-11-15 22:12:43.513078,user_0431,0.8,True,,Excellent
C,Loops,intermediate,3,5,62.6,770,10,2025-11-21 22:12:43.488111,user_0231,0.6,True,41.63333333333333,Good
DBMS,Normalization,advanced,5,5,100.0,658,18,2025-12-22 22:12:43.520058,user_0484,1.0,False,97.3,Excellent
Data Structures,Trees,advanced,5,5,100.0,703,23,2026-01-06 22:12:43.520058,user_0484,1.0,False,100.0,Excellent
OS,Threads,advanced,4,5,81.9,660,14,2025-11-23 22:12:43.498117,user_0311,0.8,False,79.25,Excellent
Python,File Handling,intermediate,5,5,100.0,607,9,2025-12-02 22:12:43.508093,user_0391,1.0,True,74.3,Excellent
DBMS,SQL,advanced,4,5,99.1,634,29,2026-01-15 22:12:43.487148,user_0226,0.8,False,58.18333333333334,Good
Data Structures,Linked List,intermediate,5,5,100.0,523,8,2025-12-16 22:12:43.461216,user_0041,1.0,False,,Excellent
Java,Inheritance,advanced,5,5,100.0,722,16,2025-12-25 22:12:43.480133,user_0169,1.0,True,81.66666666666667,Excellent
DBMS,SQL,beginner,4,5,85.7,557,2,2025-10-17 22:12:43.520058,user_0480,0.8,False,,Excellent
Python,Lists,advanced,5,5,100.0,643,23,2026-02-01 22:12:43.493131,user_0271,1.0,False,100.0,Excellent
C,Loops,beginner,2,5,57.5,678,3,2025-10-26 22:12:43.468198,user_0094,0.4,True,39.9,Excellent
OS,Memory Management,intermediate,3,5,70.3,829,7,2025-10-29 22:12:43.511084,user_0415,0.6,True,65.0,Excellent
Java,OOPs,advanced,5,5,100.0,597,20,2026-01-06 22:12:43.482143,user_0187,1.0,False,100.0,Excellent
DBMS,SQL,advanced,5,5,100.0,737,17,2025-12-13 22:12:43.458228,user_0015,1.0,False,83.13333333333334,Excellent
C,Pointers,advanced,5,5,100.0,745,15,2025-11-30 22:12:43.520058,user_0481,1.0,True,100.0,Excellent
Java,OOPs,intermediate,5,5,100.0,734,9,2025-11-06 22:12:43.456194,user_0001,1.0,True,89.0,Excellent
Data Structures,Stacks,beginner,2,5,54.4,728,5,2025-11-03 22:12:43.479135,user_0166,0.4,False,,Good
OS,Memory Management,advanced,5,5,100.0,527,22,2026-01-06 22:12:43.458228,user_0022,1.0,False,92.28,Excellent
Java,Inheritance,advanced,5,5,100.0,678,30,2026-01-09 22:12:43.498117,user_0313,1.0,False,91.10000000000001,Excellent
Python,Lists,advanced,4,5,90.3,609,26,2026-01-13 22:12:43.517066,user_0465,0.8,False,64.3111111111111,Good
Java,Exceptions,beginner,4,5,85.3,618,5,2025-10-23 22:12:43.499115,user_0318,0.8,True,,Excellent
C,Loops,advanced,5,5,100.0,624,15,2025-11-20 22:12:43.459221,user_0028,1.0,False,97.0,Excellent
OS,Memory Management,beginner,2,5,49.1,859,1,2025-11-21 22:12:43.482143,user_0183,0.4,False,,Excellent
OS,Threads,advanced,3,5,62.4,699,26,2026-01-18 22:12:43.511084,user_0412,0.6,False,55.166666666666664,Good
Java,Inheritance,beginner,5,5,100.0,672,5,2025-11-02 22:12:43.461216,user_0042,1.0,False,,Excellent
OS,Threads,advanced,5,5,100.0,537,22,2025-12-28 22:12:43.479135,user_0159,1.0,False,53.849999999999994,Excellent
OS,Threads,advanced,5,5,100.0,604,17,2025-12-26 22:12:43.468198,user_0091,1.0,False,94.4,Excellent
Java,Inheritance,advanced,2,5,48.3,688,17,2025-12-09 22:12:43.507093,user_0379,0.4,False,49.53333333333333,Average
OS,Threads,intermediate,2,5,59.6,701,6,2025-11-22 22:12:43.470191,user_0108,0.4,False,,Excellent
C,Functions,advanced,4,5,87.7,598,28,2026-01-09 22:12:43.478138,user_0158,0.8,True,65.8,Good
Java,Inheritance,advanced,5,5,100.0,699,20,2025-12-22 22:12:43.463213,user_0057,1.0,False,87.85,Excellent
OS,Memory Management,advanced,5,5,100.0,575,15,2025-11-24 22:12:43.500113,user_0326,1.0,True,89.83333333333333,Excellent
C,Pointers,advanced,5,5,100.0,746,33,2026-01-27 22:12:43.490137,user_0247,1.0,False,79.96666666666667,Good
C,Functions,advanced,5,5,100.0,607,19,2026-01-10 22:12:43.476177,user_0141,1.0,False,77.4,Excellent
OS,Processes,advanced,5,5,100.0,615,14,2025-12-03 22:12:43.460220,user_0034,1.0,False,80.8,Excellent
Java,Exceptions,advanced,5,5,100.0,540,26,2025-12-21 22:12:43.464208,user_0067,1.0,False,49.05,Good
OS,Threads,intermediate,3,5,76.0,721,11,2025-11-10 22:12:43.501109,user_0333,0.6,True,63.400000000000006,Excellent
OS,Memory Management,advanced,5,5,100.0,541,16,2025-12-05 22:12:43.515072,user_0444,1.0,False,63.6,Excellent
Java,Exceptions,beginner,3,5,79.3,687,5,2025-11-03 22:12:43.481266,user_0177,0.6,False,76.0,Excellent
C,Pointers,beginner,3,5,70.4,823,4,2025-10-18 22:12:43.485119,user_0210,0.6,True,57.4,Excellent
Java,Inheritance,intermediate,1,5,39.0,689,9,2025-11-12 22:12:43.474148,user_0136,0.2,False,44.0,Good
Java,OOPs,advanced,5,5,100.0,544,15,2025-11-26 22:12:43.467199,user_0088,1.0,False,86.8,Excellent
DBMS,Normalization,beginner,1,5,27.2,751,1,2025-11-09 22:12:43.517066,user_0464,0.2,False,,Excellent
DBMS,SQL,beginner,3,5,70.7,724,5,2025-11-13 22:12:43.505100,user_0365,0.6,False,,Excellent
Data Structures,Queues,advanced,5,5,100.0,611,23,2026-01-05 22:12:43.487148,user_0225,1.0,False,82.2,Excellent
Java,Exceptions,advanced,5,5,100.0,688,32,2026-01-26 22:12:43.489109,user_0244,1.0,False,100.0,Excellent
DBMS,SQL,intermediate,3,5,76.5,792,12,2026-01-01 22:12:43.484122,user_0200,0.6,False,78.85,Good
Java,Inheritance,intermediate,3,5,77.4,719,11,2025-11-16 22:12:43.496122,user_0294,0.6,False,,Excellent
OS,Processes,intermediate,2,5,55.4,825,7,2025-11-09 22:12:43.491135,user_0258,0.4,False,,Excellent
Python,File Handling,beginner,2,5,49.9,787,3,2025-11-09 22:12:43.457229,user_0009,0.4,True,,Excellent
Data Structures,Linked List,beginner,3,5,71.1,789,3,2025-11-23 22:12:43.476177,user_0139,0.6,False,,Good
Data Structures,Stacks,advanced,5,5,100.0,747,16,2026-01-12 22:12:43.471157,user_0117,1.0,False,77.95,Excellent
DBMS,SQL,advanced,3,5,74.8,809,15,2026-01-17 22:12:43.499115,user_0315,0.6,False,72.775,Excellent
Data Structures,Stacks,beginner,1,5,35.0,867,2,2025-12-07 22:12:43.464208,user_0063,0.2,False,,Good
DBMS,Normalization,advanced,4,5,98.1,616,19,2025-12-06 22:12:43.506095,user_0372,0.8,True,78.9,Good
C,Functions,advanced,5,5,100.0,676,15,2025-11-26 22:12:43.461216,user_0042,1.0,False,84.1,Excellent
Java,OOPs,beginner,1,5,31.4,790,2,2025-10-31 22:12:43.458228,user_0015,0.2,False,,Excellent
Data Structures,Linked List,advanced,5,5,100.0,664,21,2026-01-19 22:12:43.504101,user_0361,1.0,False,94.25,Excellent
Python,Dictionaries,advanced,5,5,100.0,666,28,2025-12-29 22:12:43.466203,user_0075,1.0,False,95.06666666666666,Excellent
OS,Threads,advanced,5,5,100.0,586,26,2026-01-11 22:12:43.502108,user_0344,1.0,False,99.05,Excellent
DBMS,Normalization,beginner,1,5,28.8,885,4,2025-12-15 22:12:43.501109,user_0331,0.2,False,,Needs Improvement
OS,Processes,advanced,5,5,100.0,701,17,2026-01-05 22:12:43.516071,user_0450,1.0,True,100.0,Excellent
DBMS,Transactions,advanced,4,5,84.2,762,13,2025-11-10 22:12:43.462213,user_0045,0.8,False,,Excellent
Data Structures,Trees,advanced,5,5,100.0,739,26,2026-01-08 22:12:43.514074,user_0436,1.0,True,65.05,Excellent
